Factor,Question,Option 1,Option 2,Option 3,Option 4,Option 5
A1,What is the status of the patent?,1: Patent not yet applied for,2: Patent application filed,3: Novelty search and patentability evaluation completed,4: Patent granted,5: Opposition period expired
A2,What is the patent’s legal position of strength?,1: No novelty search,2: ’Quick and dirty’ search (simple database search) performed,3: National office novelty search or similar,4: International novelty search,5: Novelty search and infringement search
A3,For how long is the patent still valid?,1: Patent has 0-2 year term remaining,2: Patent has 2-4 year term remaining,3: Patent has 4-8 year term remaining,4: Patent has 8-12 year term remaining,5: Patent has more than a 12-year term remaining
A4,How broad and comprehensive are the patent claims?,1: The claims are very narrow and specific,2: The claims are quite narrow,3: The claims are reasonably broad,4: The claims are broadly inclusive,5: The claims comprise a general principle
A5,Does the patent’s geographical coverage include the relevant markets?,1: Patent protection in a single national market only,2: Patent protection in a few market area countries,3: Patent protection in most market area countries,4: Patent protection in all existing market area countries,5: Patent protection in all existing and potentially relevant market area countries
A6,Are patents monitored to identify infringements?,1: No monitoring against infringement,2: Random monitoring via reports from sales agents,3: Some degree of systematic monitoring of selected competitor products,4: Systematic monitoring of markets,5: Formalised global monitoring
A7,Are disputes and legal proceedings customary in the operative markets?,1: Legal proceedings are very customary,2: Legal proceedings exist,3: Disputes are customary,4: Disputes exist,5: Disputes and legal proceedings are not customary
A8,Does the company have the means to enforce patent rights?,"1: In general, too expensive and difficult to enforce patent rights",2: Patent rights enforced in selected countries in important markets,3: Patent rights  enforced in case of selected competitors,4: Patent rights enforced in nearly all cases if not too expensive,5: Patent rights always enforced
,,,,,,
B1,Is the invention a unique technology?,1: The invention has a marginal effect in relation to existing technology,2: The invention has some improvement of effect in relation to existing technology,3: The invention has improvement of effect in relation to existing technology,4: The invention has substantial improvement of effect and is clearly groundbreaking,5: The invention can change the way in which the industry operates/ works
B2,Is the invention technically superior to substitute technology?,"1: The technology is representative of a field where there is new, substitute and dominating technology",2: There is a reasonably wide area of substitute technology,"3: There is substitute technology, but it is limited in use and range",4: There is substitute technology which is not yet competitive,5: There are no known substitute technologies
B3,To what extent has the invention been tested?,1: The invention has been tested in theory according to calculations,2: There have been experiments/ one-off tests,3: Production test has been completed,4: Production running in,5: Full-scale production
B4,"Does the patented technology call for new skills, qualifications, or production equipment?",1: The patent requires an entirely new production process,2: Substantial development of production processes is required before the patent can be utilised,3: Some development of production processes is required before the patent can be utilised,4: Only slight development of production processes is required before the patent can be utilised,5: The patent can be utilised with the current production technology
B5,How  much  time is required before the patented technology can be commercially worked?,1: 5 years before commercialisation [5],2: 2 years [2],3: 1 year [1],"4: ½ year [0,5]",5: 0 years – ready for commercial activities [0]
B6,Are infringing copycat products easy to produce?,1: The technology is easily identified and easy to copy and produce,2: The technology is easy to copy and produce,3: The technology is comparatively easy to identify and to copy and produce,4: The technology is complex and difficult to copy and produce,5: The technology is complex and extremely difficult to copy and produce
B7,Are products of infringing nature easy to identify?,1: It is extremely difficult to identify infringing copycat products,2: It is difficult but not impossible to identify infringing copycat products,3: It is comparatively easy to identify infringing copycat products,4: It is easy to identify infringing copycat products,5: It is extremely easy to identify infringing copycat products
B8,Does deployment of the technology depend on licence agreements  with others?,1: Use of the patent is dependent on extensive licence agreements with competitors,2: Use of the patent is dependent on some licence agreements with competitors,3: Use of the patent is not dependent on any particular licence agreements with competitors,"4: Use of the patent is dependent on licence agreements, but not with competitors",5: Use of the patent is independent of licence agreements
B9,Does the technology have marketing value (customer value)?,1: The patent provides an improvement of product utility value which is very difficult to communicate,2: The patent provides an improvement of product utility value which is difficult to communicate,3: The patent provides a communicable improvement of product utility value,4: The patent provides a mild improvement of product utility value which is easy to communicate,5: The patent provides distinctive features which can be used for marketing the product
,,,,,,
C1,What are the marketing options?,1: There is no known market for the patented technology,2: The patented technology has not yet been targeted at a particular market,3: There is a well-known market for the patented  technology,"4: There is a well-known market and further, well-defined market options",5: There is a well-known market and other tangible prominent markets
C2,What is the market growth in the business area where the patented technology is utilised?,"1: Very low (½%) [0,005]","2: Low (2½%) [0,025]","3: Medium (5%) [0,05]","4: High (8%) [0,08]","5: Very high (15%) [0,15]"
C3,What is the life expectancy of the patented technology in the market?,"1: ½ year [0,5]",2: 1 year [1],3: 2 years [2],4: 4 years [4],5: 8 years [8]
